np1;np2;np3;np4;ns1;ns2;ns3;ns4;ni1;ni2;ni3;ni4;nh1;nh2;nh3;nh4;series;cost
4;4;3;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999999991999999;68.0
4;4;3;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999997061000002;64.0
4;4;3;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999994155000003;61.0
4;4;3;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999998648;65.0
4;4;3;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999995936000001;62.0
4;4;3;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999997195000002;65.0
4;4;3;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999998710000001;66.0
4;4;3;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999997559;63.0
4;4;3;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999995196000003;63.0
4;4;3;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999998116000001;65.0
4;4;3;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999998769;67.0
4;4;3;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999999991999999;67.0
4;4;3;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999999992999999;69.0
4;4;3;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999994465000003;63.0
4;4;3;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999997915000001;64.0
4;4;3;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999990404000005;62.0
4;4;3;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999998303000001;66.0
4;4;3;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999994832000003;64.0
4;4;3;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999999990999999;66.0
3;2;2;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999997061000002;64.0
3;2;2;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999994130000863;60.0
3;2;2;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999991224001716;57.0
3;2;2;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999995717000396;61.0
3;2;2;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999993005001193;58.0
3;2;2;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999994264000823;61.0
3;2;2;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999995779000379;62.0
3;2;2;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999994628000716;59.0
3;2;2;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999992265001411;59.0
3;2;2;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999995185000553;61.0
3;2;2;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999995838000361;63.0
3;2;2;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999997061000002;63.0
3;2;2;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999997062000001;65.0
3;2;2;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999991534001625;59.0
3;2;2;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999994984000612;60.0
3;2;2;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999987473002818;58.0
3;2;2;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999995372000497;62.0
3;2;2;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999991901001518;60.0
3;2;2;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999997060000002;62.0
3;3;0;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999994155000003;61.0
3;3;0;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999991224001716;57.0
3;3;0;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999988318003413;54.0
3;3;0;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999992811000787;58.0
3;3;0;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999990099002373;55.0
3;3;0;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999991358001638;58.0
3;3;0;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999992873000753;59.0
3;3;0;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999991722001424;56.0
3;3;0;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999989359002806;56.0
3;3;0;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999992279001099;58.0
3;3;0;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999992932000717;60.0
3;3;0;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999994155000003;60.0
3;3;0;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999994156000003;62.0
3;3;0;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999988628003232;56.0
3;3;0;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999992078001216;57.0
3;3;0;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999984567005605;55.0
3;3;0;0;4;4;1;0;4;4;3;0;4;4;3;0;0.999999246600099;59.0
3;3;0;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999988995003019;57.0
3;3;0;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999994154000004;59.0
3;3;2;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999998647999999;65.0
3;3;2;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999995717000396;61.0
3;3;2;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999992811000787;58.0
3;3;2;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999997304000181;62.0
3;3;2;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999994592000546;59.0
3;3;2;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999995851000377;62.0
3;3;2;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999997366000173;63.0
3;3;2;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999996215000327;60.0
3;3;2;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999993852000647;60.0
3;3;2;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999996772000252;62.0
3;3;2;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999997425000164;64.0
3;3;2;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999998647999999;64.0
3;3;2;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999998648999999;66.0
3;3;2;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999993121000745;60.0
3;3;2;0;3;3;1;0;4;4;3;0;4;4;3;0;0.999999657100028;61.0
3;3;2;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999989060001294;59.0
3;3;2;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999996959000228;63.0
3;3;2;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999993488000697;61.0
3;3;2;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999998646999999;63.0
4;3;0;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999995936000001;62.0
4;3;0;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999993005001192;58.0
4;3;0;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999990099002372;55.0
4;3;0;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999994592000546;59.0
4;3;0;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999991880001649;56.0
4;3;0;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999993139001138;59.0
4;3;0;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999994654000522;60.0
4;3;0;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999993503000989;57.0
4;3;0;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999991140001949;57.0
4;3;0;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999994060000763;59.0
4;3;0;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999994713000497;61.0
4;3;0;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999995936000001;61.0
4;3;0;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999995937;63.0
4;3;0;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999990409002246;57.0
4;3;0;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999993859000845;58.0
4;3;0;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999986348003896;56.0
4;3;0;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999994247000688;60.0
4;3;0;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999990776002098;58.0
4;3;0;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999995935000001;60.0
4;2;2;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999997195000002;65.0
4;2;2;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999994264000823;61.0
4;2;2;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999991358001638;58.0
4;2;2;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999995851000378;62.0
4;2;2;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999993139001139;59.0
4;2;2;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999994398000787;62.0
4;2;2;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999995913000361;63.0
4;2;2;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999994762000683;60.0
4;2;2;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999992399001346;60.0
4;2;2;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999995319000528;62.0
4;2;2;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999995972000344;64.0
4;2;2;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999997195000002;64.0
4;2;2;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999997196000001;66.0
4;2;2;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999991668001551;60.0
4;2;2;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999995118000584;61.0
4;2;2;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999987607002689;59.0
4;2;2;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999995506000475;63.0
4;2;2;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999992035001448;61.0
4;2;2;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999997194000002;63.0
4;3;2;0;4;4;3;0;4;4;3;0;4;4;3;0;0.999999871;66.0
4;3;2;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999995779000378;62.0
4;3;2;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999992873000751;59.0
4;3;2;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999997366000173;63.0
4;3;2;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999994654000522;60.0
4;3;2;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999995913000361;63.0
4;3;2;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999997428000166;64.0
4;3;2;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999996277000313;61.0
4;3;2;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999993914000619;61.0
4;3;2;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999996834000242;63.0
4;3;2;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999997487000157;65.0
4;3;2;0;4;3;3;0;4;4;3;0;4;4;3;0;0.999999871;65.0
4;3;2;0;4;4;4;0;4;4;3;0;4;4;3;0;0.9999998711;67.0
4;3;2;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999993183000712;61.0
4;3;2;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999996633000268;62.0
4;3;2;0;2;2;1;0;4;4;3;0;4;4;3;0;0.9999989122001236;60.0
4;3;2;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999997021000218;64.0
4;3;2;0;4;2;1;0;4;4;3;0;4;4;3;0;0.9999993550000665;62.0
4;3;2;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999998709;64.0
4;4;0;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999997559;63.0
4;4;0;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999994628000716;59.0
4;4;0;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999991722001424;56.0
4;4;0;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999996215000329;60.0
4;4;0;0;4;3;0;0;4;4;3;0;4;4;3;0;0.9999993503000989;57.0
4;4;0;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999994762000683;60.0
4;4;0;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999996277000314;61.0
4;4;0;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999995126000594;58.0
4;4;0;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999992763001171;58.0
4;4;0;0;4;3;1;0;4;4;3;0;4;4;3;0;0.9999995683000459;60.0
4;4;0;0;4;4;2;0;4;4;3;0;4;4;3;0;0.9999996336000299;62.0
4;4;0;0;4;3;3;0;4;4;3;0;4;4;3;0;0.9999997559;62.0
4;4;0;0;4;4;4;0;4;4;3;0;4;4;3;0;0.999999756;64.0
4;4;0;0;3;2;1;0;4;4;3;0;4;4;3;0;0.9999992032001349;58.0
4;4;0;0;3;3;1;0;4;4;3;0;4;4;3;0;0.9999995482000508;59.0
4;4;0;0;2;2;1;0;4;4;3;0;4;4;3;0;0.999998797100234;57.0
4;4;0;0;4;4;1;0;4;4;3;0;4;4;3;0;0.9999995870000412;61.0
4;4;0;0;4;2;1;0;4;4;3;0;4;4;3;0;0.999999239900126;59.0
4;4;0;0;3;3;3;0;4;4;3;0;4;4;3;0;0.9999997558000001;61.0
2;2;2;0;4;4;3;0;4;4;3;0;4;4;3;0;0.9999995196000003;63.0
2;2;2;0;3;2;2;0;4;4;3;0;4;4;3;0;0.9999992265001412;59.0
2;2;2;0;3;3;0;0;4;4;3;0;4;4;3;0;0.9999989359002807;56.0
2;2;2;0;3;3;2;0;4;4;3;0;4;4;3;0;0.9999993852000648;60.0
2;2;2;0;4;3;0;0;4;4;3;0;4;4;3;0;0.999999114000195;57.0
2;2;2;0;4;2;2;0;4;4;3;0;4;4;3;0;0.9999992399001347;60.0
2;2;2;0;4;3;2;0;4;4;3;0;4;4;3;0;0.9999993914000619;61.0
2;2;2;0;4;4;0;0;4;4;3;0;4;4;3;0;0.9999992763001171;58.0
2;2;2;0;2;2;2;0;4;4;3;0;4;4;3;0;0.9999990400002307;58.0
